2,Dan Bradshaw,Skaventide,381
3,Tom Mawdsley,Skaventide,380
4,Jack Armstrong,Daughters of Khaine,380
5,Leo Rautomen,Ironjawz,379
6,Chris Caves Jr,Disciples of Tzeentch,379
7,Benjamin Savva,Bonesplitterz,378
8,Tony Moore,Flesh Eater Courts,378
9,Darren Watson,Maggotkin of Nurgle,377
10,James Ganis,Flesh Eater Courts,377
11,Matthew Gouldesbrough,Seraphon,377
12,Andy Hughes,Legion of Sacrement,376
13,Michael Wilson,Hedonites of Slaanesh,376
14,Bryan Carmichael,Hedonites of Slaanesh,376
15,Leigh Martin,Hedonites of Slaanesh,376
16,Chris Myhill,Order,376
