17,Elliot Ireland,Ossiarch Bonereapers,+38.3
18,Chris Myhill,Order,+38.2
19,James Ganis,Flesh Eater Courts,+38.0
20,Guillaume Garnier,Seraphon,+37.5
21,John Bayliss,Blades of Khorne,+37.5
22,Dean McLaughlin,Skaventide,+36.6
23,Benjamin Savva,Bonesplitterz,+36.5
24,Richard Arnolds,Hedonites of Slaanesh,+36.4
25,Tom Matthews,Cities of Sigmar,+36.4
26,James Hobbs,Seraphon,+36.1
27,Martjin Zuidema,Ossiarch Bonereapers,+35.1
28,Tom Mawdsley,Skaventide,+34.1
29,Jes Bickham,Gloomspite Gitz,+34.0
30,Alex Bruce,Order,+33.9
31,Mike Callaghan,Stormcast Eternals,+33.3
32,Andy Farrell,Legion of Grief,+33.0
33,Sam Saunders,Maggotkin of Nurgle,+32.9
34,Andy Currie,Kharadron Overlords,+32.8
35,Matthew Feltham,Daughters of Khaine,+32.7
36,Tom Blaxall,Gloomspite Gitz,+32.4
37,Joe Clark,Flesh Eater Courts,+31.9
38,Richard Buckler,Blades of Khorne,+31.8
39,Leigh Martin,Hedonites of Slaanesh,+31.5
40,Ben Johnson,Gloomspite Gitz,+31.4
41,Phillippe Peylet,Phoenix Temple,+31.4
42,Liam Cook,Idoneth Deepkin,+31.3
43,George Moudatsos,Beasts of Chaos,+31.2
44,Michael Wendel,Mawtribes,+31.1
45,Michael Stewart,Stormcast Eternals,+30.6
46,Russ Veal,Blades of Khorne,+30.4
47,Richard Hudspith,Skaven,+30.2
48,Matt Tinsdale,Stormcast Eternals,+29.8
49,Stephen Mitchell,Flesh Eater Courts,+29.8
50,Jack Armstrong,Daughters of Khaine,+29.6
51,Bryan Carmichael,Hedonites of Slaanesh,+29.6
52,Andy Hughes,Legion of Sacrement,+29.0
53,Jack Mayland,Beasts of Chaos,+28.9
54,James Tinsdale,Idoneth Deepkin,+28.8
55,Michael Brough,Skaventide,+28.7
56,Byron Orde,Bonesplitterz,+28.4
57,Matthew Gouldesbrough,Seraphon,+28.2
58,Liam Watts,Hedonites of Slaanesh,+28.0
59,John Craig,Maggotkin of Nurgle,+27.6
60,David Kane,Kharadron Overlords,+27.6
61,Daniel Ford,Skaventide,+27.4
63,George Vathipoulias,Idoneth Deepkin,+27.2
64,Paul Coram,Sylvaneth,+27.1
65,Owyn Abram,Legions of Nagash,+26.8
66,Ricky Mee,Skaven,+26.7
67,Donal Taylor,Gloomspite Gitz,+26.6
68,Alex Kew,Stormcast Eternals,+26.6
69,Anthony Boulton,Hedonites of Slaanesh,+26.6
70,Ian Spink,Bonesplitterz,+26.4
71,Marc Davies,Idoneth Deepkin,+26.4
72,Danny Cashman,Kharadron Overlords,+25.9
73,Simon Weakley,Skaventide,+25.9
74,Trev Moffat,Seraphon,+25.7
75,Paul Buckler,Seraphon,+25.5
76,Rob Wright,Idoneth Deepkin,+25.4
77,Craig Namvar,Disciples of Tzeentch,+25.4
78,Laurie H,Sylvaneth,+25.1
79,Ciaran Smyth,Maggotkin of Nurgle,+25.0
80,Hugh Halligan,Free Peoples,+25.0
81,Toby Meadows,Stormcast Eternals,+24.8
82,Jj Cropley,Skaventide,+24.8
83,Dan Mitchell,Seraphon,+24.2
84,David Nemeth,Disciples of Tzeentch,+24.0
85,Tim Holbrook,Gloomspite Gitz,+23.9
86,Nathan Watson,Idoneth Deepkin,+23.9
87,Tony Moore,Flesh Eater Courts,+23.8
88,Daniel Scott,Daughters of Khaine,+23.2
89,Michael Cook,Ironjawz,+23.1
90,David Neagle,Grand Host of Nagash,+23.1
91,Dave Glaysher,Ironjawz,+22.9
92,Thomas Lemoine,Flesh Eater Courts,+22.8
93,Joe McGough,Legion of Sacrement,+22.5
94,Frank Straw,Dispossessed,+22.2
95,Bjorn Malmborg,Free Peoples,+22.2
97,Les Martin,Stormcast Eternals,+21.6
98,Peter Humpage,Order Draconis,+21.5
99,Stuart West,Sylvaneth,+21.4
100,Dan Bradshaw,Skaventide,+21.3
101,Andy Bryan,Skaventide,+21.2
102,Steve Curtis,Flesh Eater Courts,+21.1
103,Matthew Hinton,Maggotkin of Nurgle,+20.6
104,Declan McKitrich,Blades of Khorne,+20.5
105,James Boots,Blades of Khorne,+20.4
106,Eoin Lennon,Grand Host of Nagash,+20.3
107,Eric Hoerger,Big Waaagh,+20.3
108,Simon Cobb,Ironjawz,+20.2
109,Francois Mercier,Fyreslayers,+20.0
110,Marc Brookes,Skaven,+20.0
111,Rob Hull,Flesh Eater Courts,+19.9
112,Louis Medows,Stormcast Eternals,+19.8
113,Karl Breakspear,Nighthaunt,+19.7
115,JP Stevens,Hedonites of Slaanesh,+19.2
116,Martin Clarke,Flesh Eater Courts,+19.2
117,Max Barton,Flesh Eater Courts,+19.1
118,Tom Fretwell,Flesh Eater Courts,+18.6
119,Daniel White,Skaventide,+18.5
120,Will Rose,Tomb Kings,+17.9
121,Adam Clark,Ironjawz,+17.7
122,Rob Bradley,Skaventide,+17.7
123,Tom Patton,Cities of Sigmar,+17.3
124,David Smyth,Maggotkin of Nurgle,+16.1
125,Simon Fitzpatrick,Hosts of Slaanesh,+16.1
126,Marc Wilson,Cities of Sigmar,+16.0
127,Chris Banks,Skaventide,+15.7
128,Pete Wrench,Mawtribes,+15.7
129,Nick Thompson,Skaventide,+15.3
130,Teck Loy,Idoneth Deepkin,+15.3
131,Alex Tooth,Skaven,+15.3
132,Steven Phillips,Blades of Khorne,+15.2
133,Colin Cochrane,Daughters of Khaine,+15.0
134,Daniel Ryan,Skaventide,+14.9
135,Matt Lyons,Flesh Eater Courts,+14.8
136,Michael Wilson,Hedonites of Slaanesh,+14.6
137,Rob Nixon,Beasts of Chaos,+14.6
138,Kevin Chandler,Sylvaneth,+14.5
139,James Powell,Order,+14.3
140,Danny Biddle,Fyreslayers,+14.2
141,Robert Sedgeman,Destruction,+14.1
143,Darryl Jones,Hedonites of Slaanesh,+13.9
144,Adam Cunis,Order Draconis,+13.9
145,Chris Tomlin,Order Draconis,+13.8
146,Owen Jackson,Sylvaneth,+13.7
147,Matthew Pardoe,Big Waaagh,+13.4
148,Adam Sinclair,Ironjawz,+13.3
149,Phil McGuiness,Skaventide,+13.0
150,Simon Holmes,Flesh Eater Courts,+12.6
151,Andy Davies,Skaven,+12.6
152,Simon Eccles,Flesh Eater Courts,+12.5
153,Ralph Hughes,Cities of Sigmar,+12.3
154,James Warth,Stormcast Eternals,+12.0
155,James Wilson,Khorne Bloodbound,+11.8
156,Dan George,Hosts of Slaanesh,+11.3
157,Paul Rea,Skaventide,+11.2
158,Ben Mardle,Hedonites of Slaanesh,+11.2
159,Aaron Bailey,Destruction,+11.1
160,Andrew Lewis,Flesh Eater Courts,+11.0
162,Paul Bowden,Stormcast Eternals,+10.9
163,Matt Harrison,Hedonites of Slaanesh,+10.7
164,Andy Scott,Ironjawz,+10.1
165,Chris McConville,Daughters of Khaine,+10.1
166,Matt Rennie,Fyreslayers,+10.1
167,Maxime Julian,Stormcast Eternals,+9.8
168,Ceri Robson,Gloomspite Gitz,+9.7
169,Balal Zafar,Wanderers,+9.6
170,Alex Jones,Skaventide,+9.2
171,Matthew Arnold,Stormcast Eternals,+9.2
172,Craig Graham,Sylvaneth,+9.1
174,Tom Bell,Ironjawz,+9.0
175,Christian Moore,Hedonites of Slaanesh,+8.9
176,Lee Kay,Dispossessed,+8.6
177,Rob Symes,Legion of Azgorh,+8.6
178,Chris Hibbins,Sylvaneth,+8.5
179,Ollie Fox,Maggotkin of Nurgle,+8.4
180,Aiden Clieve,Maggotkin of Nurgle,+8.4
181,Ben Murphy,Grand Host of Nagash,+8.4
182,Jack Westaway,Disciples of Tzeentch,+8.4
183,Nathan Sandison,Ossiarch Bonereapers,+8.3
184,Joe Jackson,Sylvaneth,+8.3
185,Rob Kelly,Flesh Eater Courts,+8.3
186,Lee Bromley,Flesh Eater Courts,+8.3
187,Daniel Asensio,Fyreslayers,+8.2
188,Joe Purcell,Hedonites of Slaanesh,+8.0
189,Adam Riley,Stormcast Eternals,+7.9
190,Alan Witherden,Bonesplitterz,+7.8
191,Troy Hardy,Hedonites of Slaanesh,+7.7
192,Pete Scholey,Skaventide,+7.6
193,John Dale,Skaventide,+7.5
194,Ross Joyce,Legion of Blood,+7.5
195,Solomon Morrow,Legions of Nagash,+7.4
196,Richard Flood,Hedonites of Slaanesh,+7.3
197,Carl Bagnall,Skaven,+7.2
199,Liam Hall,Ossiarch Bonereapers,+6.7
200,Matthew Bennett,Flesh Eater Courts,+6.4
201,Mark Curtis,Sylvaneth,+6.3
203,Matt Hammond,Sylvaneth,+6.2
205,Neil Montgomery,Hedonites of Slaanesh,+6.1
207,Adrian McWalter,Hedonites of Slaanesh,+5.6
209,John Williams,Blades of Khorne,+5.2
210,William Barton,Idoneth Deepkin,+5.1
211,Thomas Waller,Flesh Eater Courts,+5.0
213,Shane Ford,Beasts of Chaos,+4.8
214,Ben Cronin,Flesh Eater Courts,+3.8
215,John Harper,Disciples of Tzeentch,+3.6
216,Gabe Huddlestone,Legion of Blood,+3.6
218,Adam Hall,Hedonites of Slaanesh,+3.0
219,Arran Folly,Ironjawz,+2.9
220,Aaron Walters,Sylvaneth,+2.8
221,Charles Hollom,Beasts of Chaos,+2.8
222,Kieran Harper,Stormcast Eternals,+2.7
223,Mike Wilding,Hedonites of Slaanesh,+2.4
224,James Williams,Ironjawz,+2.1
225,Mark Roberts,Seraphon,+1.9
226,James Field,Beastclaw Raiders,+1.9
227,Vincent Chan,Blades of Khorne,+1.7
229,Stuart Mann,Gloomspite Gitz,+1.3
230,Sebastian Del Monte,Gloomspite Gitz,+1.3
231,Adrian Downey,Legion of Grief,+1.1
232,Paul Berridge,Dispossessed,+1.0
233,Martin Swaffield,Disciples of Tzeentch,+0.9
234,Daniel Arnold,Idoneth Deepkin,+0.7
235,Michael Cooper,Gloomspite Gitz,+0.7
237,Chris Hallam,Seraphon,+0.4
238,Myles Mulkerrins,Big Waaagh,+0.4
240,Chris Carroll,Skaven,+0.1
242,Mark Mitzman,Gloomspite Gitz,-0.1
243,Mark Carrigher,Fyreslayers,-0.6
244,Callum Sinclair,Gloomspite Gitz,-0.9
245,Mathew Crowther,Blades of Khorne,-0.9
246,Greg Shelton,Ossiarch Bonereapers,-1.4
247,Craig Morrow,Skaventide,-1.5
248,Steve Dooley,Darkling Covens,-1.6
249,Chris Mills,Disciples of Tzeentch,-1.6
251,Adam Hazelwood,Nighthaunt,-1.9
252,Nicholas Ruesink,Fyreslayers,-2.1
253,John Connelly,Skaventide,-2.1
254,Paul di Duca,Clan Skryre,-2.3
255,Craig Chesters,Daughters of Khaine,-2.5
256,James Box,Big Waaagh,-2.5
257,Mark Busby,Hedonites of Slaanesh,-2.7
260,Adam Rawson,Skaven,-3.2
261,Matthew Sandiford,Cities of Sigmar,-3.6
264,Janos Szaniszlo,Ironjawz,-3.9
265,Alex Ley,Fyreslayers,-4.3
266,Will Spencer,Ironjawz,-4.3
267,James Clark,Blades of Khorne,-4.4
268,Tom Lees,Gloomspite Gitz,-4.5
270,Brook Hirst,Big Waaagh,-4.8
272,Kevin Low,Skaventide,-5.1
273,Ritchie Sanisteben,Everchosen,-5.1
276,Andy Wood,Flesh Eater Courts,-6.1
278,Jay Kinsella,Blades of Khorne,-6.4
279,Micheal Bennett,Blades of Khorne,-6.5
280,Matt Clarke,Idoneth Deepkin,-6.9
281,Chris Caves Snr,Daughters of Khaine,-7.0
283,Nigel Bartlett,Gutbusters,-7.3
284,Dave Carter,Nighthaunt,-7.3
285,Darren Phipps,Flesh Eater Courts,-7.7
287,Ben Smith,Stormcast Eternals,-8.0
288,Simon Partridge,Beasts of Chaos,-8.5
296,Chris Lewis,Hedonites of Slaanesh,-10.4
297,Anthony Lewis,Grand Host of Nagash,-10.5
298,James Houston,Skaven,-10.6
300,Jon Cann,Mawtribes,-10.8
301,Tim Unwin,Blades of Khorne,-11.0
302,Declan Waters,Gloomspite Gitz,-11.0
303,Sam Watson,Flesh Eater Courts,-11.0
304,Joshua Jenkins,Grand Host of Nagash,-11.5
305,Ben Diesel,Daughters of Khaine,-11.5
306,Sam Sendell,Legion of Blood,-11.5
307,Adam Martin,Hosts of Slaanesh,-11.7
308,James Eveleigh,Gloomspite Gitz,-11.8
309,Shaun Lang,Legion of Night,-12.1
310,Matt Robertson,Disciples of Tzeentch,-12.2
311,Luke Evans,Legions of Nagash,-12.3
313,Chris Ashworth,Hedonites of Slaanesh,-12.5
314,Richard Morley,Gloomspite Gitz,-12.6
315,Sean McKechnie,Gloomspite Gitz,-12.9
316,Neil Samuels,Hosts of Slaanesh,-13.0
317,Wayne Rendell,Ironjawz,-13.3
319,Mikey Gilson,Bonesplitterz,-13.7
320,Andrew Stephen,Beastclaw Raiders,-13.7
321,Kane Holloway,Blades of Khorne,-14.1
322,Paul Whitehead,Beastclaw Raiders,-14.3
323,Angus Brain,Stormcast Eternals,-14.4
324,Matt Willis,Big Waaagh,-14.4
326,Andrew Hodges,Nighthaunt,-14.8
327,Heath Barnes,Blades of Khorne,-15.0
330,Dan Hughes,Gloomspite Gitz,-15.6
331,John Dorrian,Blades of Khorne,-15.9
332,Stuart Hodges,Gloomspite Gitz,-15.9
333,Michael Browning,Flesh Eater Courts,-16.3
335,Stephen Smith,Gloomspite Gitz,-16.4
336,Craig Carlton,Fyreslayers,-16.4
337,Hamid Khabbazan,Free Peoples,-16.7
338,Jake Powis,Sylvaneth,-16.8
339,Paul Marshallsay,Idoneth Deepkin,-16.9
340,Alessandro Leto,Stormcast Eternals,-17.0
341,Anthony Poole,Sylvaneth,-17.1
342,Stuart Hastings,Mawtribes,-17.2
343,Francis Arthur,Cities of Sigmar,-17.4
344,Tom Holmes,Gloomspite Gitz,-17.5
345,Emyr Rice,Skaventide,-17.8
346,Jason Hodgekinson,Ironjawz,-17.9
347,Chris Archibald,Idoneth Deepkin,-17.9
348,Stuart Millar,Legion of Sacrement,-18.1
349,Jack McQuiggin,Seraphon,-18.2
350,Duncan Woods,Bonesplitterz,-18.2
352,Will Pollock,Skaven,-18.3
354,Matthew Ward,Skaventide,-19.0
359,Simon Froley,Daughters of Khaine,-20.1
360,Paul Haley,Daughters of Khaine,-20.2
361,Josh Cann,Maggotkin of Nurgle,-20.5
362,Joseph Carr,Disciples of Tzeentch,-20.8
363,Martyn Furnival,Hedonites of Slaanesh,-20.9
366,Ben Booker,Legions of Nagash,-21.3
368,Travis Kelly,Fyreslayers,-21.8
373,Ian Ralph,Stormcast Eternals,-22.8
374,Lyndon Sinclair,Hosts of Slaanesh,-22.9
376,Ethan Leach,Idoneth Deepkin,-23.1
377,Jamie White,Cities of Sigmar,-23.1
380,Evan White,Mawtribes,-24.3
381,Jane Slater,Seraphon,-24.3
382,Scott Smith,Flesh Eater Courts,-24.8
383,Tim Martin,Blades of Khorne,-25.1
384,Alex McGee,Skaven,-25.1
385,Dave Roberts,Flesh Eater Courts,-25.4
386,Tom Hewitt,Flesh Eater Courts,-25.4
387,Tim Bland,New Tzeentch,-25.5
388,Matt Robinson,Maggotkin of Nurgle,-25.6
390,John Greene,Sylvaneth,-26.0
392,Tom Bailey,Blades of Khorne,-26.1
394,Pete Bradley,Legion of Sacrement,-26.4
395,Seb Donley,Idoneth Deepkin,-26.4
396,Matthew Walker,Hedonites of Slaanesh,-27.0
397,Chris Nellis,Daughters of Khaine,-27.1
398,William Philpott,Order,-27.2
401,Lewis Sloan,Sylvaneth,-27.5
402,Ross Howard,Gloomspite Gitz,-27.8
404,Ben Bailey,Daughters of Khaine,-27.9
405,Thomas Hamilton,Disciples of Tzeentch,-28.0
406,William Morris,Gloomspite Gitz,-28.2
407,Carl Smith,Gloomspite Gitz,-28.3
408,Reece West,Stormcast Eternals,-28.4
411,Chris Elliot,Skaventide,-28.8
412,Callum Watson,Blades of Khorne,-28.9
414,Kevin Grimes,Hedonites of Slaanesh,-29.1
418,Rob Boyce,Ironjawz,-29.7
429,Tom Gilboy,Idoneth Deepkin,-31.5
430,Lee Whitely,Blades of Khorne,-31.6
431,Steve Wren,Idoneth Deepkin,-32.0
435,Colin Mather,Cities of Sigmar,-33.0
442,Samuel Green,Skaventide,-34.1
444,Grant Fraser,Flesh Eater Courts,-34.6
445,Gabriele Sosso,Legion of Blood,-35.1
457,Matt Dawson,Hosts of Slaanesh,-38.4
459,Phillip Jenkins,Ossiarch Bonereapers,-38.5
460,Erik Bews,Slaves to Darkness,-38.6
465,Katalin Fekete,Idoneth Deepkin,-40.7
466,Miles Hewitt,Skaventide,-41.7
476,Johnny Armstrong,Skaventide,-47.7
