2,Gary Percival,Kharadron Overlords,+48.1
3,Ritchie McAlley,Gloomspite Gitz,+47.3
4,Tom Parry,Stormcast Eternals,+47.2
5,Darren Watson,Maggotkin of Nurgle,+46.4
6,Terry Pike,Maggotkin of Nurgle,+46.0
7,Martin Morrin,Blades of Khorne,+45.8
8,Mark Wildman,Blades of Khorne,+45.2
9,Leo Rautomen,Ironjawz,+45.0
10,Chris Caves Jr,Disciples of Tzeentch,+43.7
11,Will Rose,Tomb Kings,+42.8
12,Dave Robinson,Flesh Eater Courts,+40.6
13,Sam Loving,Stormcast Eternals,+39.6
14,Ellis Priestley,Fyreslayers,+39.4
15,Giannis Sourtzis,Seraphon,+39.2
16,Andy Brown,Nighthaunt,+39.0
